Fullname,First Name,Last Name,Temporary ID,Original Created Date,Address,Country,City,Country City Detection,Country Detection,Email,Phone,Original Industry
Abbey Porter,Abbey,Porter,457508,2021-05-12,"Besson  Avenue, 1005",Ireland,Limerick,City,"('Ireland', 'Limerick')",abbey_porter75675783@vetan.org,(+353) 8532182466,;Poultry and fish
Abdul Fisher,Abdul,Fisher,454197,2021-12-07,"Edwin   Rue, 3956",England,-,Country,"('England', '-')",abdul_fisher666937132@twipet.com,(+44) 4231262651,;Poultry and fish;Milling
Abdul Fox,Abdul,Fox,457516,2021-08-29,"Arlington  Pass, 1149",Ireland,Dublin,City,"('Ireland', 'Dublin')",abdul_fox283273357@joiniaa.com,(+353) 3186084424,;Bakery products;Meat;Animal feeds
Abdul Graves,Abdul,Graves,459767,2021-07-18,"Cheney  Hill, 5758",England,Milton Keynes,City,"('England', 'Milton Keynes')",abdul_graves475323926@jiman.org,(+44) 8056733305,;Animal feeds
Abdul Hunt,Abdul,Hunt,452538,2021-11-10,"Chatsworth  Way, 4027",England,Oxford,City,"('England', 'Oxford')",abdul_hunt1407009784@bauros.biz,(+44) 6755718302,;Bakery products;Meat;Milling
Abdul Ianson,Abdul,Ianson,461389,2021-12-07,"Yorkshire  Vale, 152",Ireland,-,Country,"('Ireland', '-')",abdul_ianson292705644@muall.tech,(+353) 6203636026,;Meat;Dairy products
Abdul Keys,Abdul,Keys,461721,2021-12-13,"English   Lane, 549",England,-,Country,"('England', '-')",abdul_keys969174867@fuliss.net,(+44) 6740307150,;Dairy products;Milling
Abdul Mason,Abdul,Mason,462768,2021-08-02,"Baltic  Boulevard, 5947",England,Oxford,City,"('England', 'Oxford')",abdul_mason1806772920@supunk.biz,(+44) 1028073402,;Bakery products;Fruit and vegetables
Abdul Moore,Abdul,Moore,460457,2021-07-22,"Norland  Boulevard, 6623",England,Milton Keynes,City,"('England', 'Milton Keynes')",abdul_moore1486518155@sheye.org,(+44) 1312606285,;Dairy products
Abdul Morgan,Abdul,Morgan,460831,2021-12-16,"Dunsley  Lane, 6493",Ireland,-,Country,"('Ireland', '-')",abdul_morgan383251951@mafthy.com,(+353) 3015716818,;Bakery products;Dairy products;Poultry and fish
Abdul Oakley,Abdul,Oakley,448184,2021-02-26,"Kingly  Rue, 7067",England,-,Country,"('England', '-')",abdul_oakley220560314@joiniaa.com,(+44) 7753501577,;Poultry and fish;Animal feeds
Abdul Patel,Abdul,Patel,460614,2021-09-24,"King William  Vale, 6902",England,-,Country,"('England', '-')",abdul_patel461954236@nickia.com,(+44) 8857021682,;Bakery products;Animal feeds
Abdul Payne,Abdul,Payne,460609,2021-12-19,"Lake Pass, 1667",England,Oxford,City,"('England', 'Oxford')",abdul_payne283008121@tonsy.org,(+44) 8025437773,;Animal feeds;Milling
Abdul Randall,Abdul,Randall,460219,2021-09-10,"Bishop   Street, 164",England,Winchester,City,"('England', 'Winchester')",abdul_randall837668588@atink.com,(+44) 6324844718,;Dairy products;Poultry and fish
Abdul Samuel,Abdul,Samuel,457932,2021-06-21,"Bolton  Tunnel, 6056",England,-,Country,"('England', '-')",abdul_samuel311062258@liret.org,(+44) 108063874,;Meat
Abdul Saunders,Abdul,Saunders,460239,2021-11-09,"Abourne   Grove, 8800",Ireland,-,Country,"('Ireland', '-')",abdul_saunders692449639@deavo.com,(+353) 5828324134,;Dairy products;Poultry and fish
Abdul Stewart,Abdul,Stewart,460859,2021-07-06,"Balfe   Crossroad, 2749",Ireland,-,Country,"('Ireland', '-')",abdul_stewart1073057390@twipet.com,(+353) 4834264516,;Dairy products;Poultry and fish;Fruit and vegetables
Abdul Vaughan,Abdul,Vaughan,460604,2021-09-07,"Apsley    Rue, 1281",England,Plymouth,City,"('England', 'Plymouth')",abdul_vaughan1727425708@liret.org,(+44) 3405845316,;Meat;Fruit and vegetables
Abdul Welsch,Abdul,Welsch,461525,2021-09-24,"Linda Lane Lane, 5888",Ireland,Dublin,City,"('Ireland', 'Dublin')",abdul_welsch500136973@grannar.com,(+353) 4408470538,;Bakery products;Poultry and fish
Abdul Wilde,Abdul,Wilde,454991,2021-11-10,"Magnolia Lane, 4737",England,-,Country,"('England', '-')",abdul_wilde78520748@muall.tech,(+44) 8305713474,;Poultry and fish;Animal feeds
Ada Bell,Ada,Bell,460858,2021-12-07,"Elgood   Vale, 9587",England,Milton Keynes,City,"('England', 'Milton Keynes')",ada_bell374211668@nimogy.biz,(+44) 8786060077,;Poultry and fish;Fruit and vegetables
Ada Flanders,Ada,Flanders,461383,2021-12-15,"Fieldstone Crossroad, 6571",Ireland,Cork,City,"('Ireland', 'Cork')",ada_flanders582481047@iatim.tech,(+353) 1227556216,;Bakery products
Ada Gray,Ada,Gray,454993,2021-08-18,"Bekesbourne   Vale, 9211",Ireland,-,Country,"('Ireland', '-')",ada_gray1667084760@bungar.biz,(+353) 1280418161,;Bakery products
Ada Hunter,Ada,Hunter,452547,2021-04-27,"Ashley Grove, 7306",England,Oxford,City,"('England', 'Oxford')",ada_hunter1877745483@tonsy.org,(+44) 2150744144,;Bakery products;Fruit and vegetables
Ada Robinson,Ada,Robinson,460168,2021-11-02,"Camdale  Avenue, 5737",Ireland,Limerick,City,"('Ireland', 'Limerick')",ada_robinson9305370@ubusive.com,(+353) 5507734616,;Bakery products;Poultry and fish
Adalie Cann,Adalie,Cann,448238,2021-09-05,"Duthie   Boulevard, 4172",Ireland,Limerick,City,"('Ireland', 'Limerick')",adalie_cann1109862018@deons.tech,(+353) 1367736873,;Poultry and fish;Milling
Adalie Clifton,Adalie,Clifton,462151,2021-11-04,"Spruce Walk, 424",Ireland,Limerick,City,"('Ireland', 'Limerick')",adalie_clifton1479415399@brety.org,(+353) 5616542556,;Milling
Adalie Ingham,Adalie,Ingham,457610,2021-07-14,"Balfe   Hill, 2115",Ireland,Cork,City,"('Ireland', 'Cork')",adalie_ingham1025707223@typill.biz,(+353) 6036130668,;Meat;Milling
Adalie Owen,Adalie,Owen,451199,2021-01-17,"Bethwin  Alley, 8027",Ireland,Cork,City,"('Ireland', 'Cork')",adalie_owen1032627388@nimogy.biz,(+353) 5617544147,;Fruit and vegetables
Adalie Phillips,Adalie,Phillips,462452,2021-12-29,"Fawn Lane, 6539",Ireland,Limerick,City,"('Ireland', 'Limerick')",adalie_phillips1643356969@corti.com,(+353) 5771058017,;Poultry and fish;Animal feeds
Adalie Watson,Adalie,Watson,457518,2021-09-21,"Howard Avenue, 7725",England,Plymouth,City,"('England', 'Plymouth')",adalie_watson419281304@grannar.com,(+44) 8226050502,;Bakery products;Fruit and vegetables
Adalind Norman,Adalind,Norman,461114,2021-12-29,"Kilner   Tunnel, 13",England,-,Country,"('England', '-')",adalind_norman1985722433@bulaffy.com,(+44) 1460453758,;Milling
Adalind Oakley,Adalind,Oakley,459769,2021-09-01,"Rail Avenue, 3120",Ireland,-,Country,"('Ireland', '-')",adalind_oakley332024607@guentu.biz,(+353) 5480543400,;Bakery products;Milling
Adalind Simpson,Adalind,Simpson,454196,2021-12-11,"Hampden  Way, 8013",England,Plymouth,City,"('England', 'Plymouth')",adalind_simpson643660817@liret.org,(+44) 4857146078,;Poultry and fish;Milling
Adela Addis,Adela,Addis,460227,2021-10-31,"Union  Rue, 8116",England,London,City,"('England', 'London')",adela_addis1886571220@corti.com,(+44) 8158811120,;Bakery products;Animal feeds;Milling
Adela John,Adela,John,462209,2021-10-23,"Fawn Pass, 9997",England,Milton Keynes,City,"('England', 'Milton Keynes')",adela_john223504921@cispeto.com,(+44) 8011323834,;Milling
Adeline Rixon,Adeline,Rixon,454624,2021-12-27,"Mariner  Road, 9872",England,Winchester,City,"('England', 'Winchester')",adeline_rixon1002221726@elnee.tech,(+44) 5781450616,;Bakery products;Milling
Adina Dallas,Adina,Dallas,459697,2021-05-20,"Geary   Rue, 9793",England,Oxford,City,"('England', 'Oxford')",adina_dallas826135765@bungar.biz,(+44) 6270352503,;Milling
